run_id,status,error_message,started_utc,finished_utc,runtime_s,phase,decision,method_id,method_kind,sector,seed,L,problem,t,U,dv,omega0,g_ep,n_ph_max,ordering,boundary,boson_encoding,ansatz_name,pool_name,vqe_reps,vqe_restarts,vqe_maxiter,vqe_method,adapt_max_depth,adapt_eps_grad,adapt_eps_energy,adapt_maxiter,adapt_allow_repeats,adapt_depth_reached,adapt_stop_reason,paop_r,paop_prune_eps,paop_normalization,fidelity_grouping_mode,fidelity_residual_trotter_steps,fidelity_coeff_tolerance,E_exact_sector,E_best,E_last,delta_E_abs,N_up_target,N_dn_target,N_up_expect,N_dn_expect,N_up_abs_err,N_dn_abs_err,N_sector_abs_err_sum,sector_leak_flag,num_parameters,pool_size,nfev,nit
m1_hh_hva|trotter_1|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T03:05:19.470776+00:00,2026-03-02T03:10:38.473769+00:00,319.2613553754054,fidelity_gate,continue,m1_hh_hva,conventional,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,,,1,0.0,none,qubitwise_commute,1,1e-12,-0.6988083850995359,0.9278890570771989,1.341345955582249,1.6266974421767348,2,1,1.999994540231046,1.0000069903186575,5.459768954052535e-06,6.990318657473793e-06,1.2450087611526328e-05,True,8,,3662,0
m1_hh_hva|trotter_1|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T03:10:38.916517+00:00,2026-03-02T03:17:17.147251+00:00,398.6716873748228,fidelity_gate,continue,m1_hh_hva,conventional,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,,,1,0.0,none,qubitwise_commute,1,1e-12,-0.6988083850995359,0.9059308672475412,0.9278894341342359,1.6047392523470771,2,1,1.9748555034722144,1.025588589619963,0.02514449652778561,0.02558858961996302,0.05073308614774863,True,8,,4612,0
m1_hh_hva|trotter_2|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T03:17:17.545094+00:00,2026-03-02T03:24:22.588761+00:00,425.4466003328562,fidelity_gate,continue,m1_hh_hva,conventional,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,,,1,0.0,none,qubitwise_commute,2,1e-12,-0.6988083850995359,0.9351859921721875,1.4453103977502022,1.6339943772717234,2,1,1.999340675768316,1.00066245667605,0.000659324231683911,0.0006624566760500272,0.0013217809077339382,True,8,,2731,0
m1_hh_hva|trotter_2|S2_1|interleaved_periodic|binary|seed102,timeout,wallclock cap exceeded (600s),2026-03-02T04:05:38.565113+00:00,2026-03-02T04:05:38.580675+00:00,600.003700457979,fidelity_gate,continue,m1_hh_hva,conventional,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,,,1,0.0,none,qubitwise_commute,2,1e-12,,,,,2,1,,,,,,,,,,
m1_hh_hva|trotter_4|S2_1|interleaved_periodic|binary|seed101,timeout,wallclock cap exceeded (600s),2026-03-02T04:15:38.587416+00:00,2026-03-02T04:15:38.592917+00:00,600.0027232910506,fidelity_gate,continue,m1_hh_hva,conventional,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,,,1,0.0,none,qubitwise_commute,4,1e-12,,,,,2,1,,,,,,,,,,
m1_hh_hva|trotter_4|S2_1|interleaved_periodic|binary|seed102,timeout,wallclock cap exceeded (600s),2026-03-02T04:25:38.593416+00:00,2026-03-02T04:25:38.598946+00:00,600.0037601669319,fidelity_gate,continue,m1_hh_hva,conventional,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,,,1,0.0,none,qubitwise_commute,4,1e-12,,,,,2,1,,,,,,,,,,
m3_adapt_paop_std|trotter_1|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:25:39.005643+00:00,2026-03-02T04:25:45.741870+00:00,7.140720790717751,fidelity_gate,continue,m3_adapt_paop_std,adapt,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,6,eps_energy,1,0.0,none,qubitwise_commute,1,1e-12,-0.6988083850995359,2.263932037496895,2.2639320937816256,2.962740422596431,2,1,2.0,1.0,0.0,0.0,0.0,False,6,6,215,6
m3_adapt_paop_std|trotter_1|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:25:46.050456+00:00,2026-03-02T04:25:52.725149+00:00,6.982183749787509,fidelity_gate,continue,m3_adapt_paop_std,adapt,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,6,eps_energy,1,0.0,none,qubitwise_commute,1,1e-12,-0.6988083850995359,2.263932037496895,2.2639320937816256,2.962740422596431,2,1,2.0,1.0,0.0,0.0,0.0,False,6,6,215,6
m3_adapt_paop_std|trotter_2|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:25:52.976515+00:00,2026-03-02T04:25:55.947706+00:00,3.2217884166166186,fidelity_gate,continue,m3_adapt_paop_std,adapt,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,3,eps_energy,1,0.0,none,qubitwise_commute,2,1e-12,-0.6988083850995359,2.263932048898355,2.263932048898355,2.962740433997891,2,1,2.0,1.0,0.0,0.0,0.0,False,3,6,85,3
m3_adapt_paop_std|trotter_2|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:25:56.185188+00:00,2026-03-02T04:25:59.159664+00:00,3.210652249865234,fidelity_gate,continue,m3_adapt_paop_std,adapt,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,3,eps_energy,1,0.0,none,qubitwise_commute,2,1e-12,-0.6988083850995359,2.263932048898355,2.263932048898355,2.962740433997891,2,1,2.0,1.0,0.0,0.0,0.0,False,3,6,85,3
m3_adapt_paop_std|trotter_4|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:25:59.393661+00:00,2026-03-02T04:28:09.937261+00:00,130.7767069581896,fidelity_gate,continue,m3_adapt_paop_std,adapt,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,16,eps_energy,1,0.0,none,qubitwise_commute,4,1e-12,-0.6988083850995359,2.2639320249099093,2.2639320893539363,2.962740410009445,2,1,2.0,1.0,0.0,0.0,0.0,False,16,6,1127,16
m3_adapt_paop_std|trotter_4|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:28:10.342754+00:00,2026-03-02T04:30:21.063183+00:00,131.12404854176566,fidelity_gate,continue,m3_adapt_paop_std,adapt,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,16,eps_energy,1,0.0,none,qubitwise_commute,4,1e-12,-0.6988083850995359,2.2639320249099093,2.2639320893539363,2.962740410009445,2,1,2.0,1.0,0.0,0.0,0.0,False,16,6,1127,16
m4_adapt_paop_lf_std|trotter_1|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:30:21.438251+00:00,2026-03-02T04:30:28.576782+00:00,7.511594166979194,fidelity_gate,continue,m4_adapt_paop_lf_std,adapt,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,6,eps_energy,1,0.0,none,qubitwise_commute,1,1e-12,-0.6988083850995359,2.263932037496895,2.2639320937816256,2.962740422596431,2,1,2.0,1.0,0.0,0.0,0.0,False,6,9,215,6
m4_adapt_paop_lf_std|trotter_1|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:30:28.913198+00:00,2026-03-02T04:30:36.141817+00:00,7.563981750048697,fidelity_gate,continue,m4_adapt_paop_lf_std,adapt,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,6,eps_energy,1,0.0,none,qubitwise_commute,1,1e-12,-0.6988083850995359,2.263932037496895,2.2639320937816256,2.962740422596431,2,1,2.0,1.0,0.0,0.0,0.0,False,6,9,215,6
m4_adapt_paop_lf_std|trotter_2|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:30:36.468141+00:00,2026-03-02T04:30:39.685799+00:00,3.5429580002091825,fidelity_gate,continue,m4_adapt_paop_lf_std,adapt,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,3,eps_energy,1,0.0,none,qubitwise_commute,2,1e-12,-0.6988083850995359,2.263932048898355,2.263932048898355,2.962740433997891,2,1,2.0,1.0,0.0,0.0,0.0,False,3,9,85,3
m4_adapt_paop_lf_std|trotter_2|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:30:39.920924+00:00,2026-03-02T04:30:43.094980+00:00,3.40844991710037,fidelity_gate,continue,m4_adapt_paop_lf_std,adapt,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,3,eps_energy,1,0.0,none,qubitwise_commute,2,1e-12,-0.6988083850995359,2.263932048898355,2.263932048898355,2.962740433997891,2,1,2.0,1.0,0.0,0.0,0.0,False,3,9,85,3
m4_adapt_paop_lf_std|trotter_4|S2_1|interleaved_periodic|binary|seed101,ok,,2026-03-02T04:30:43.333242+00:00,2026-03-02T04:32:55.460105+00:00,132.36383183300495,fidelity_gate,continue,m4_adapt_paop_lf_std,adapt,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,16,eps_energy,1,0.0,none,qubitwise_commute,4,1e-12,-0.6988083850995359,2.2639320249099093,2.2639320893539363,2.962740410009445,2,1,2.0,1.0,0.0,0.0,0.0,False,16,9,1127,16
m4_adapt_paop_lf_std|trotter_4|S2_1|interleaved_periodic|binary|seed102,ok,,2026-03-02T04:32:55.870219+00:00,2026-03-02T04:35:08.037998+00:00,132.57496433332562,fidelity_gate,continue,m4_adapt_paop_lf_std,adapt,"(2,1)",102,3,hh,1.0,2.0,0.0,1.0,1.0,1,interleaved,periodic,binary,,paop_lf_std,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,16,eps_energy,1,0.0,none,qubitwise_commute,4,1e-12,-0.6988083850995359,2.2639320249099093,2.2639320893539363,2.962740410009445,2,1,2.0,1.0,0.0,0.0,0.0,False,16,9,1127,16
m1_hh_hva|trotter_1|S2_1|blocked_open|binary|seed101,ok,,2026-03-02T04:35:08.375773+00:00,2026-03-02T04:37:16.436769+00:00,128.39677058393136,fidelity_gate,continue,m1_hh_hva,conventional,"(2,1)",101,3,hh,1.0,2.0,0.0,1.0,1.0,1,blocked,open,binary,hh_hva,,2,5,3000,COBYLA,80,1e-06,1e-08,3000,True,,,1,0.0,none,qubitwise_commute,1,1e-12,-0.5269377197656464,1.1322283481373903,1.2890939542994995,1.6591660679030367,2,1,1.998845385528913,1.0012016161428245,0.001154614471087001,0.0012016161428245464,0.0023562306139115474,True,8,,1746,0
